task_name,temperature,execution_time_s
HumanEval_150_x_or_y,0.0,30.4538
HumanEval_151_double_the_difference,0.0,4.9235
HumanEval_152_compare,0.0,2.6582
HumanEval_153_Strongest_Extension,0.0,10.1344
HumanEval_154_cycpattern_check,0.0,4.6656
HumanEval_155_even_odd_count,0.0,4.4961
HumanEval_156_int_to_mini_roman,0.0,18.0527
HumanEval_157_right_angle_triangle,0.0,6.3148
HumanEval_158_find_max,0.0,6.7259
HumanEval_159_eat,0.0,2.5875
HumanEval_160_do_algebra,0.0,9.2932
HumanEval_161_solve,0.0,6.7986
HumanEval_162_string_to_md5,0.0,25.1156
HumanEval_163_generate_integers,0.0,2.7172
TOTAL,,1218.3450
